Profile,Lat,Long,Depth,Symbol,SiBCS,Soil taxonomy,Soil order,PM,Lab_SOM,LAB_L_dry,LAB_A_dry,LAB_B_dry,LAB_L_moist,LAB_A_moist,LAB_B_moist,pXRF_Ag,pXRF_Al2O3,pXRF_As,pXRF_Bi,pXRF_CaO,pXRF_Ce,pXRF_Cl,pXRF_Cr,pXRF_Cu,pXRF_Fe,pXRF_K2O,pXRF_Mn,pXRF_Mo,pXRF_Nb,pXRF_Ni,pXRF_P2O5,pXRF_Pb,pXRF_Rb,pXRF_SiO2,pXRF_Sr,pXRF_Ta,pXRF_Ti,pXRF_Tl,pXRF_V,pXRF_Y,pXRF_Zn,pXRF_Zr
16,7652797,501689,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,3.074245939675174,47.59,12.69,22.24,33.17,11.58,15.96,0,185131,4,0,492,804,612,565,21,57844,1347,139,0,0,35,198,8,0,230498,0,13,7185,0,0,0,17,168
16,7652797,501689,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.9280742459396752,48.45,14.58,23.81,32.22,14.62,18.22,0,203766,4,0,0,1351,734,611,21,62629,1137,121,0,0,45,0,0,0,227279,0,19,6907,17,0,0,18,189
29,7651872,502160,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.6960556844547564,57.37,20.71,28.25,39.6,22.94,23.91,0,138166,0,0,71,1048,214,76,18,50331,2122,43,0,0,7,0,0,5,204243,0,8,6770,30,0,0,17,172
40,7651886,502505,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,0.9280742459396752,34.94,20.3,21.88,24.65,15.96,15.07,0,175520,3,0,274,1364,441,83,33,67351,1698,588,4,0,20,515,0,7,256522,0,6,10460,0,104,0,32,231
46,7651373,502699,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.4640371229698376,32.28,16.49,19.07,26.46,14.28,14.39,0,209651,0,0,320,1456,542,66,15,50192,2296,132,0,0,11,0,0,3,241322,2,18,7404,0,0,0,34,216
67,7651830,502989,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,2.8422273781902554,54.49,14.3,26.44,29.73,13.27,16.8,0,229890,0,0,1908,1317,560,170,24,57577,3129,196,0,0,19,0,0,5,263912,5,6,8086,33,24,0,24,224
67,7651830,502989,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,1.1020881670533642,56.67,20.05,31.2,39.36,20.13,25.67,0,271379,2,0,349,1593,550,226,21,62874,2863,169,4,0,18,206,0,2,272061,0,11,7880,0,56,0,20,206
127,7653157,504104,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,6.322505800464038,42.99,10.85,21.45,30.34,11.11,15.63,0,150628,0,10,13862,0,455,0,50,107254,2189,1216,0,17,11,573,18,10,245020,19,0,16920,0,182,4,32,227
127,7653157,504104,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,1.3921113689095128,42.87,14.02,22.98,30.26,14.71,18.73,0,154892,0,15,0,1427,477,48,64,125846,1963,1142,0,19,17,287,45,9,241603,0,7,17990,0,156,0,30,317
104,7652601,503544,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,4.1183294663573085,47.93,9.28,17.22,31.53,9,12.95,0,167770,2,0,1689,0,712,62,19,37844,2531,167,0,4,26,324,0,0,298217,9,0,5106,0,0,0,15,202
104,7652601,503544,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,1.3921113689095128,46.55,10.29,18.21,26.02,11.25,14.86,0,194103,0,10,0,1267,701,109,23,48237,2665,144,0,3,40,0,0,0,258092,0,7,5283,0,0,0,14,273
123,7652678,503963,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.7540603248259861,62.12,19.11,32.78,43.63,21.34,29.74,0,217066,0,17,0,1569,540,247,17,83306,1094,259,0,22,7,0,7,0,219157,0,23,10645,38,27,4,17,279
124,7652601,504104,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,3.1322505800464038,43.88,15.94,22.95,31.27,13.55,15.66,0,169218,0,0,7492,0,523,416,43,108735,1416,445,0,16,15,1274,0,0,209108,9,0,11733,0,209,0,36,205
124,7652601,504104,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,1.4501160092807426,41.66,16.55,22.46,27.81,14.06,15.06,0,172132,0,0,0,1556,653,574,37,119774,956,376,0,18,17,0,21,6,188436,0,21,12115,19,49,0,26,247
55,7651860,502851,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,2.2041763341067284,55.29,13.32,24.33,38.71,13.87,20.71,0,188427,1,0,2000,341,489,189,17,41733,2648,170,0,0,21,848,0,3,271833,5,17,7875,0,0,0,32,211
55,7651860,502851,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.580046403712297,58.81,19.2,30.79,40.36,21.11,27.26,0,257802,4,0,366,1422,809,275,22,55809,1815,123,0,4,24,0,0,2,245540,0,22,7924,0,0,0,20,197
96,7652635,503365,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,5.626450116009281,43.29,11.94,17.77,28.98,11.38,13.22,0,130945,0,0,8472,0,549,25,34,80257,1278,511,0,10,24,658,18,3,222992,23,0,8665,0,0,0,27,277
96,7652635,503365,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,1.3921113689095128,46.3,18.24,23.53,32.42,17.2,18.22,0,170528,0,0,0,2039,647,116,43,92622,1517,325,0,9,18,421,12,0,239252,10,6,9575,0,0,0,27,354
79,7653157,503172,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,2.8422273781902554,53.42,9.47,18.95,34.39,10.82,15.46,0,174559,1,0,3369,0,542,242,18,39605,2818,161,0,12,19,1109,0,5,312573,21,0,7582,0,22,3,20,288
37,7651674,502426,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.6960556844547564,59.9,20.65,31.34,42.18,21.84,27.12,0,243346,0,9,245,1822,597,110,28,67773,1684,205,0,0,0,243,9,0,266945,0,17,7651,14,27,0,21,220
44,7651489,502612,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.6960556844547564,53.83,16.46,23.69,37.9,18.32,21.09,0,227036,0,0,695,1599,587,484,22,61706,4051,139,0,0,26,0,23,8,291768,2,8,5743,0,0,0,31,213
83,7653378,503203,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,2.2041763341067284,52.16,11.89,20.7,32.9,13.48,18.09,0,205033,2,0,1349,710,534,36,17,41279,4958,518,0,10,29,518,33,16,360346,31,6,6656,0,17,11,29,281
83,7653378,503203,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.2900232018561485,58.91,17.16,27.77,38.44,20.9,24.83,0,248635,0,8,898,1588,543,134,17,58077,3213,203,0,3,34,502,35,12,271377,24,19,4904,0,0,9,26,189
103,7652415,503544,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,5.336426914153132,37.19,16.15,22.93,27.11,11.67,13.59,0,179961,9,0,1578,547,478,400,25,114459,1002,370,0,18,21,0,8,0,151823,0,12,13148,25,127,4,23,332
100,7651859,503544,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,3.1322505800464038,46.53,10.47,18.73,31.55,9.65,14.17,0,156583,3,0,3842,0,579,175,22,50338,1944,584,0,0,17,512,0,9,315264,17,0,9469,0,43,0,28,226
103,7652415,503544,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,1.5081206496519721,35.61,16.6,20.52,25.93,12.77,13.32,0,166429,8,0,0,408,500,496,26,119687,761,385,0,21,18,0,8,0,142800,0,6,13819,0,154,0,17,335
100,7651859,503544,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.8120649651972157,49.75,12.28,23.63,32.32,13.95,19.12,0,206455,2,8,1213,826,502,156,20,60438,1810,389,0,0,15,440,0,2,294823,8,5,11961,18,39,3,23,253
1,7652428,501153,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,4.234338747099768,41.86,13.3,20.83,29.59,11.51,15.69,0,125529,0,0,16782,0,515,0,54,116140,2559,1318,0,12,22,1090,9,12,253993,32,0,18308,0,242,25,70,195
1,7652428,501153,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.160092807424594,45.33,20.16,27.85,33.93,19.9,22.32,0,150493,0,11,0,1858,413,0,60,142393,2586,736,0,16,10,688,11,12,238700,0,7,15598,21,164,34,73,234
2,7652474,501174,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.8120649651972157,59.7,20.28,20.55,46.05,22.83,20.84,0,101877,0,26,0,1999,302,0,73,150019,2229,1027,0,12,42,0,26,19,176225,0,0,15867,0,155,42,85,230
43,7652040,502592,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,4.234338747099768,36.94,15.87,21.38,22.37,11.81,12.41,0,157697,0,0,3064,880,594,922,65,122229,2916,1050,0,8,170,532,27,13,217205,3,0,9405,0,97,0,55,141
43,7652040,502592,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.5081206496519721,40.9,19.4,25.21,28.2,17.3,17.52,0,166241,0,0,465,1928,464,971,67,127452,2815,744,0,0,187,0,33,12,209279,0,6,10044,0,0,0,50,142
63,7652230,502985,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,6.496519721577726,40.21,15.53,22.02,26.55,12.85,15.64,0,142994,0,0,7492,0,463,1604,106,173776,2132,1162,0,0,127,1216,43,12,179526,0,0,15357,0,318,0,94,145
63,7652230,502985,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.3921113689095128,40.89,20.69,26.48,29.27,17.55,17.16,0,165393,0,33,0,0,587,1864,107,197455,1293,955,0,7,130,0,60,15,169966,0,9,16298,0,335,0,35,195
81,7652040,503180,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.074245939675174,29.41,16.06,19.79,28.2,15.64,16.76,0,194321,0,0,1184,1855,292,1142,76,131503,2675,447,0,0,128,958,36,13,219422,0,0,10990,0,169,0,46,152
81,7652040,503180,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.4640371229698376,37.54,19.46,22.39,27.09,17.78,15.27,0,151507,0,0,71,1300,435,1937,84,162451,1774,1260,0,0,203,0,50,12,205785,0,0,12587,0,212,0,46,130
94,7653191,503358,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,6.844547563805105,40.05,12.81,19.58,21.5,9.98,9.93,0,135596,0,0,20453,0,427,2646,50,150070,2800,1415,0,10,547,935,34,14,220597,37,0,10963,0,195,0,44,182
94,7653191,503358,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.580046403712297,41.59,17.67,23.09,28.88,16.93,17.04,5,145067,0,11,530,1490,613,3301,64,161106,2315,850,0,5,717,0,49,16,204769,0,0,10181,0,65,5,59,201
76,7651859,503171,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,3.074245939675174,41,17.48,24.75,33.09,12.32,15.9,7,193852,2,8,3479,924,550,334,39,100221,1807,346,0,8,26,1032,7,3,226613,5,6,13488,0,141,0,35,225
76,7651859,503171,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,1.2180974477958237,45.98,22.08,29.06,30.68,19.16,19.47,0,218671,0,14,313,1513,556,327,40,106307,1479,367,0,8,33,0,31,4,231641,0,19,14392,0,172,0,24,243
75,7651674,503171,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,0.9280742459396752,42.28,23.11,27.19,30.56,18.54,17.66,0,225517,5,8,508,1519,564,420,31,87065,1091,251,0,9,29,0,12,0,213360,0,23,11621,17,84,0,22,251
112,7652415,503731,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.480278422273782,37.9,18.49,23.74,26.56,14.13,13.93,0,172998,4,8,5757,0,339,1296,50,136558,1630,355,0,19,84,1081,10,4,159901,12,0,12629,0,297,0,39,263
112,7652415,503731,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.5081206496519721,36.48,18.81,21.93,25.73,14.81,13.69,0,162305,7,9,51,502,593,1459,41,139293,897,243,0,10,89,0,20,3,138389,0,15,12459,16,221,0,26,262
65,7652972,502985,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.6542923433874708,33.29,16.81,20.32,23.51,11.96,12.47,5,166021,0,0,11862,0,217,248,36,118627,1132,561,4,24,31,568,18,0,149479,46,8,13637,0,228,4,29,277
65,7652972,502985,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.5081206496519721,31.08,17.13,18.19,23.08,12.68,11.96,0,165895,2,11,0,486,504,381,34,128879,1048,533,0,17,35,0,24,3,128053,0,14,15450,19,228,4,29,331
68,7651887,503071,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,0.580046403712297,38.47,17.49,22.16,27.4,14.69,15.14,7,177523,2,0,0,1663,402,310,38,98556,2101,349,0,0,38,0,18,5,204779,0,0,12981,0,42,0,25,227
78,7652972,503172,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,5.80046403712297,34.76,14.08,19.11,22.57,10.86,11.28,0,158164,3,0,4834,572,656,351,41,113576,1708,599,0,17,32,905,10,8,194192,13,0,13377,0,159,0,33,241
78,7652972,503172,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.320185614849188,22.9,14.22,14.46,27.02,13.68,13.81,0,187436,0,9,615,891,251,383,49,119362,1568,548,0,24,27,239,33,3,196426,3,6,12979,0,171,0,31,307
84,7652810,503208,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,5.510440835266821,39.15,14.59,20.6,28.1,10.64,12.27,0,147318,3,0,8913,0,508,204,33,98745,1185,739,0,5,10,0,17,3,223683,19,13,11651,0,172,0,53,232
84,7652810,503208,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.494199535962877,33.01,13.31,16.89,20.51,9.61,9.88,0,156577,0,0,1379,679,695,522,55,121662,1216,727,0,4,61,287,39,0,182342,2,6,11565,0,162,0,57,221
91,7652415,503358,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.6542923433874708,38.16,16.65,22.74,27.93,13.04,14.25,0,150385,0,21,1640,769,609,677,39,129618,1089,527,0,10,40,227,38,2,163830,0,6,15729,0,224,0,37,253
91,7652415,503358,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.160092807424594,29.43,15.8,18.49,25.78,14.19,14.37,0,151090,8,12,0,386,588,908,48,147191,1003,502,0,19,59,0,41,0,153510,0,16,16284,0,262,0,37,306
102,7652230,503544,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.668213457076566,38.6,16.53,22.75,30.62,12.59,14.64,0,201841,5,11,777,1129,95,2557,46,159397,912,280,0,12,103,0,32,3,163868,0,14,14534,17,268,0,40,247
101,7652045,503544,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.3642691415313224,40.78,17.1,24.13,28.11,13.04,15.73,0,182333,0,0,3338,407,324,1638,29,121710,1774,491,0,0,70,736,10,8,216834,3,0,9709,0,134,0,29,171
102,7652230,503544,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.91415313225058,27.14,16.54,17.91,25.84,14.99,13.47,0,183156,4,14,0,640,373,2618,47,162643,791,314,0,0,109,0,40,11,143860,0,17,14184,36,310,0,29,266
101,7652045,503544,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.320185614849188,39.47,18.07,23.32,28.12,14.78,14.58,7,187746,0,0,870,1451,676,1778,36,127819,1906,457,0,11,66,280,30,6,211293,0,7,10663,0,45,0,27,184
113,7652601,503731,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.88631090487239,32.5,14.73,18.34,27.35,11.54,12.44,0,165483,8,0,3303,0,645,616,44,132594,1012,360,0,24,11,234,0,3,169060,0,8,14601,18,231,0,26,325
111,7652230,503731,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.1322505800464038,44.41,19.57,26.88,33.87,14.75,17.61,0,202297,0,10,1170,450,303,2452,57,155103,1165,396,0,0,140,0,42,0,204565,0,6,11329,0,249,0,35,197
113,7652601,503731,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.6821345707656612,31.96,16.58,18.78,21.8,12.24,11.85,0,179190,0,19,0,577,525,712,43,143931,789,465,0,21,23,0,28,3,151641,0,15,15856,0,221,0,24,351
111,7652230,503731,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.9721577726218098,40.29,19.94,24.89,27.05,15.6,15.61,0,172599,0,0,116,432,545,2502,60,155141,869,285,0,11,162,0,51,7,178067,0,0,11082,0,205,0,37,192
72,7652370.99875,503131.837766,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.580046403712297,41.51,16.24,20.58,35.76,13.37,15.52,0,177824,0,0,0,0,489,4132,64,173379,866,0,0,6,362,352,50,7,119804,0,0,11330,0,467,5,45,169
72,7652370.99875,503131.837766,20-60,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.2761020881670535,38.16,16.66,21.04,31.28,12.07,14.52,0,175015,0,0,0,0,361,3889,65,163807,888,0,0,5,327,253,40,10,129294,0,0,11329,0,441,0,40,147
90,7652230,503358,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.7842227378190256,39.78,19.45,26.69,35.26,14.12,20.8,6,191692,0,0,2029,494,119,1488,53,171448,801,555,0,19,119,638,45,3,156049,0,9,15568,0,262,0,43,241
90,7652230,503358,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.91415313225058,37.4,19.62,24.32,26.08,15.68,15.04,0,176311,0,11,506,374,394,1520,58,176394,749,450,0,13,98,0,48,4,144196,0,0,15665,0,294,0,34,238
33,7652416,502239,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,5.162412993039443,34.41,15.92,20.89,25.16,11.63,12.52,0,147518,0,0,6968,0,594,3042,59,138995,847,830,0,0,267,0,29,10,167391,6,0,13009,0,283,4,53,152
33,7652416,502239,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.9280742459396752,34.1,21.07,22.51,25.2,16.5,14.65,0,156995,0,11,0,382,518,3751,66,160047,858,0,0,0,329,0,50,12,110845,0,8,11184,0,346,0,43,150
35,7652281,502327,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,5.510440835266821,35.74,16.1,21.81,26.66,13.1,13.67,0,163449,0,0,5234,0,339,5910,95,187076,1103,579,0,0,750,896,52,12,146565,0,0,9453,0,462,5,81,98
35,7652281,502327,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.146171693735499,33.52,17.74,20.92,23.93,14.2,12.89,0,161863,0,36,0,526,362,6775,118,202181,932,538,0,0,944,0,68,17,143298,0,0,10443,0,488,19,88,131
36,7652343,502364,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.6960556844547564,39.3,20.13,23.33,28.9,16.68,16.66,0,151531,0,44,0,363,365,5471,83,209150,898,144,0,7,576,0,72,14,106405,0,0,12633,0,624,0,56,164
59,7652613,502948,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,4.408352668213457,34.09,17.51,20.31,25.93,12.34,11.48,0,139584,2,0,716,901,468,1536,44,164440,962,487,0,6,102,279,36,10,134047,0,0,13910,0,214,0,32,205
59,7652613,502948,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.9721577726218098,21.91,14.5,13.71,23.86,13.59,11.48,0,165894,0,13,0,825,319,1661,43,176849,841,570,0,13,117,0,54,8,131830,0,8,15017,0,222,0,35,230
70,7652436,503105,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.2041763341067284,31.86,17.46,18.66,26.7,12.95,12.65,0,164391,3,27,2543,0,469,1324,40,174670,1134,506,0,7,57,254,48,9,119532,0,7,15514,0,359,0,33,255
116,7652324,503763,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.9280742459396752,60.64,20.82,32.69,43.48,23.74,29.92,0,169147,6,25,0,369,259,2956,64,176894,789,147,0,14,205,0,47,7,144071,0,10,14005,0,343,0,44,262
115,7652971,503731,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,3.7703016241299303,47.74,14.13,22.41,30.02,11.62,14.61,6,161222,0,0,4185,796,445,392,50,88429,4121,2153,0,10,192,563,16,21,305203,6,5,9715,0,47,70,123,220
115,7652971,503731,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.5220417633410673,49.9,18.16,26.3,36.24,19.73,22.36,0,200687,0,0,1278,1613,576,577,64,102830,3356,777,0,8,239,0,9,16,313815,0,7,8700,13,75,60,111,197
18,7652230,501866,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,2.2041763341067284,47.41,18.07,25.53,32.93,15.51,17.93,0,185878,0,0,4023,465,519,170,45,93573,2489,645,0,0,20,240,31,6,253809,6,12,13252,0,196,0,43,263
18,7652230,501866,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,0.8120649651972157,48.72,20.86,27.21,33.14,18.85,19,6,224716,0,0,1385,1367,448,418,35,86161,1856,487,0,8,54,0,15,6,243983,0,17,12331,0,151,0,27,274
106,7653157,503544,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,5.162412993039443,34.93,14.16,18.66,26.73,12.92,13.8,0,144220,3,0,8271,0,244,839,56,121936,3606,859,0,5,119,1314,25,17,245465,19,0,13434,0,243,15,62,210
95,7653342,503358,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,4.408352668213457,42.37,12.85,19.59,29.38,12.1,15.27,0,129926,0,0,6405,335,518,1717,39,99411,4621,1436,0,0,472,1443,32,21,294518,19,0,9134,0,70,20,64,200
95,7653342,503358,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.9280742459396752,42.4,14.73,21.5,28.91,14.64,17.05,0,149006,2,0,1581,1660,510,1796,46,108687,5092,1397,4,6,657,201,30,27,268809,3,0,9164,0,38,17,51,260
88,7651859,503358,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,2.668213457076566,50.29,13.93,21.93,36.57,12.86,18.22,0,159320,3,0,1998,767,595,48,23,58048,2877,997,4,4,20,523,8,15,307887,12,8,10277,0,0,3,36,234
88,7651859,503358,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,0.8120649651972157,50.32,18.26,23.1,36.87,20.42,20.93,0,187946,0,0,780,1418,667,93,29,77108,3679,889,0,11,30,0,20,29,307477,11,5,13713,0,55,12,41,266
61,7651674,502985,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,1.1020881670533642,42.6,17.28,24.2,29.5,16.02,17.92,0,219412,2,0,891,1619,708,306,26,77453,2177,233,0,5,21,0,7,5,242888,2,12,10411,22,63,0,22,218
66,7651268,502986,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.3921113689095128,38.15,17.13,22.9,27.28,14.2,15.53,0,226274,7,16,3959,0,531,322,26,72356,917,266,0,8,46,0,10,4,198850,13,18,11233,17,286,0,19,260
64,7652786,502985,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.668213457076566,35.63,19.54,23.11,26.65,15.31,15.3,0,147601,0,11,6397,0,299,926,94,170969,916,902,0,25,106,2313,52,4,122799,42,0,13156,0,400,0,82,186
64,7652786,502985,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.580046403712297,36.63,21.91,24.78,26.24,17.27,14.79,0,161581,0,24,386,396,600,1152,92,180549,893,894,0,0,115,0,70,13,118211,0,0,13251,0,419,0,69,179
99,7653487.46183,503422.418111,60-100,NV,Nitossolo Vermelho,Rhodic Kandiudults,Ultisols,Gabbro,0.9280742459396752,42.75,17.25,25.06,27.92,14.54,15.9,0,163811,0,8,1340,352,648,1210,37,79784,4298,966,0,13,198,1302,7,16,283433,3,14,10731,16,95,10,44,252
99,7653487.46183,503422.418111,20-60,NV,Nitossolo Vermelho,Rhodic Kandiudults,Ultisols,Gabbro,0.9280742459396752,40.89,16.86,24.13,27.67,13.76,14.6,5,132251,3,0,1283,526,798,1135,31,77248,3597,914,0,14,170,680,21,16,222198,7,0,9968,0,40,12,40,258
99,7653487.46183,503422.418111,0-20,NV,Nitossolo Vermelho,Rhodic Kandiudults,Ultisols,Gabbro,1.2180974477958237,39.88,17.79,24.09,29.32,15.1,15.84,0,162103,3,0,1174,1215,638,1542,38,94266,3334,713,0,18,195,517,19,15,254603,3,6,10905,0,71,11,41,242
98,7653489,503417,0-20,NV,Nitossolo Vermelho,Rhodic Kandiudults,Ultisols,Gabbro,1.2180974477958237,51.42,17.32,25.72,33.28,18.02,19.9,0,144243,2,0,906,1186,378,1641,35,95962,3312,825,0,13,203,270,11,16,239224,0,6,11439,0,107,7,41,240
32,7652230,502239,0-20,NV,Nitossolo Vermelho,Rhodic Kandiudults,Ultisols,Gneiss,2.668213457076566,52.34,12.95,24.13,34.02,13.05,18.18,0,245797,0,0,2388,711,514,541,26,51366,3989,277,0,0,70,279,0,9,338565,5,10,5178,0,71,0,27,142
32,7652230,502239,60-100,NV,Nitossolo Vermelho,Rhodic Kandiudults,Ultisols,Gneiss,0.580046403712297,59.07,18.99,30.03,34.5,19.16,22.26,0,239786,0,0,302,884,508,495,27,48663,3742,57,0,0,78,226,7,0,303677,0,17,4458,17,21,3,27,130
93,7652972,503358,0-20,NV,Nitossolo Vermelho,Rhodic Kandiudults,Ultisols,Gneiss,3.88631090487239,45.07,16.03,22.28,30.53,14.73,15.47,0,157619,2,0,4667,753,569,146,45,85234,3204,1273,0,9,65,545,16,12,284269,18,0,12375,0,63,3,39,251
