Profile,Lat,Long,Depth,Symbol,SiBCS,Soil taxonomy,Soil order,PM,Lab_SOM,LAB_L_dry,LAB_A_dry,LAB_B_dry,LAB_L_moist,LAB_A_moist,LAB_B_moist,pXRF_Ag,pXRF_Al2O3,pXRF_As,pXRF_Bi,pXRF_CaO,pXRF_Ce,pXRF_Cl,pXRF_Cr,pXRF_Cu,pXRF_Fe,pXRF_K2O,pXRF_Mn,pXRF_Mo,pXRF_Nb,pXRF_Ni,pXRF_P2O5,pXRF_Pb,pXRF_Rb,pXRF_SiO2,pXRF_Sr,pXRF_Ta,pXRF_Ti,pXRF_Tl,pXRF_V,pXRF_Y,pXRF_Zn,pXRF_Zr
39,7652045,502426,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gabbro,1.2180974477958237,47.79,22.16,27.96,31.38,18.99,17.72,0,187703,0,0,219,1763,820,1230,43,101099,3175,400,0,0,190,0,22,10,238512,0,13,6712,0,25,0,38,134
39,7652045,502426,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gabbro,1.9721577726218098,38.68,18.87,23.11,25.97,16.15,14.76,0,175429,0,0,778,1737,722,1729,55,121144,3020,595,0,0,252,0,14,11,226671,0,0,7786,16,59,0,44,131
14,7652230,501680,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,2.2041763341067284,55.65,11.22,20.46,41.68,11.76,19.25,0,217413,0,0,2544,344,636,57,20,39920,3831,533,0,0,16,1242,13,11,356178,15,12,6070,0,39,0,44,194
14,7652230,501680,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.6960556844547564,57.83,13.44,22.06,29.56,13.65,17.12,0,235490,0,0,1425,351,585,59,17,40861,4253,486,0,3,17,0,25,14,350021,7,16,5454,15,34,0,44,192
114,7652786,503731,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,2.668213457076566,50.27,8.18,17.53,33.67,9.14,14.84,4,179471,1,0,3429,0,461,195,18,38793,1939,456,0,16,26,1328,0,3,320188,18,8,10529,9,82,3,22,292
114,7652786,503731,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.4640371229698376,58.73,13.36,25.97,39.83,14.86,22.87,0,247618,4,8,1336,787,719,341,18,49903,1713,119,0,16,32,0,7,2,287251,9,15,8829,0,88,8,21,236
7,7652416,501494,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,2.668213457076566,57.84,6.99,17.33,35.73,8.23,14.5,0,227750,2,0,4105,0,470,39,12,23189,2438,164,0,0,13,864,6,2,389105,12,13,3442,0,37,0,25,171
7,7652416,501494,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.8120649651972157,61.65,11.63,23.7,43.06,16.46,24.79,0,217869,0,0,996,0,856,79,8,30033,2228,0,0,0,9,0,0,2,309056,4,22,3957,0,0,0,22,154
62,7652045,502985,0-20,GM,Gleissolo Melânico,Mollic Endoaquents,Entisols,Gabbro,2.668213457076566,39.78,4.96,11.7,22.91,3.22,5.1,0,216635,1,0,873,0,586,1599,114,38687,2935,129,0,3,267,0,8,4,313987,9,6,8660,0,254,57,57,130
62,7652045,502985,20-60,GM,Gleissolo Melânico,Mollic Endoaquents,Entisols,Gabbro,0.6380510440835268,58.13,5.53,17.4,34.7,5.08,11.09,7,217617,2,0,283,0,590,1148,80,36320,4573,160,0,0,228,0,17,10,321345,3,7,11096,0,309,43,55,169
54,7651631.4617,502824.41806,20-60,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gneiss,0.40603248259860786,51.55,7.4,13.84,39.04,8.05,13.76,0,226177,2,8,336,0,646,149,15,13327,3850,57,0,0,27,0,0,8,368707,5,18,6560,0,79,0,26,319
54,7651631.4617,502824.41806,20-60,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gneiss,0.40603248259860786,61.34,5.27,14.51,44.15,5.21,11.96,0,209797,0,0,418,0,717,201,19,13259,3564,78,0,0,35,0,7,8,361935,5,11,6850,0,77,3,28,271
